month,currency,usd_per_currency,source
1998-01,GBP,1.6366000000,frankfurter.dev
1998-01,HKD,0.1291400000,frankfurter.dev
1998-01,IDR,0.0001100000,frankfurter.dev
1998-01,JPY,0.0077200000,frankfurter.dev
1998-01,KRW,0.0005900000,frankfurter.dev
1998-01,MYR,0.2280700000,frankfurter.dev
1998-01,THB,0.0189700000,frankfurter.dev
1998-01,TWD,0.0293100000,frankfurter.dev
1998-02,AED,0.2722900000,frankfurter.dev
1998-02,AUD,0.6742000000,frankfurter.dev
1998-02,CAD,0.6969100000,frankfurter.dev
1998-02,CNY,0.1208000000,frankfurter.dev
1998-02,CZK,0.0289700000,frankfurter.dev
1998-02,EUR,1.3604000000,frankfurter.dev
1998-02,GBP,1.6394000000,frankfurter.dev
1998-02,HKD,0.1291800000,frankfurter.dev
1998-02,IDR,0.0001100000,frankfurter.dev
1998-02,JPY,0.0079500000,frankfurter.dev
1998-02,KRW,0.0006200000,frankfurter.dev
1998-02,MYR,0.2621600000,frankfurter.dev
1998-02,THB,0.0216800000,frankfurter.dev
1998-02,TWD,0.0299800000,frankfurter.dev
1998-03,AED,0.2722900000,frankfurter.dev
1998-03,AUD,0.6700400000,frankfurter.dev
1998-03,CAD,0.7060800000,frankfurter.dev
1998-03,CNY,0.1207700000,frankfurter.dev
1998-03,CZK,0.0294200000,frankfurter.dev
1998-03,EUR,1.3621000000,frankfurter.dev
1998-03,GBP,1.6606000000,frankfurter.dev
1998-03,HKD,0.1291000000,frankfurter.dev
1998-03,IDR,0.0001100000,frankfurter.dev
1998-03,JPY,0.0077600000,frankfurter.dev
1998-03,KRW,0.0006700000,frankfurter.dev
1998-03,MYR,0.2670700000,frankfurter.dev
1998-03,THB,0.0242400000,frankfurter.dev
1998-03,TWD,0.0306500000,frankfurter.dev
1998-04,AED,0.2722900000,frankfurter.dev
1998-04,AUD,0.6527100000,frankfurter.dev
1998-04,CAD,0.6999000000,frankfurter.dev
1998-04,CNY,0.1207600000,frankfurter.dev
1998-04,CZK,0.0296400000,frankfurter.dev
1998-04,EUR,1.3643000000,frankfurter.dev
1998-04,GBP,1.6723000000,frankfurter.dev
1998-04,HKD,0.1290600000,frankfurter.dev
1998-04,IDR,0.0001200000,frankfurter.dev
1998-04,JPY,0.0075800000,frankfurter.dev
1998-04,KRW,0.0007200000,frankfurter.dev
1998-04,MYR,0.2676200000,frankfurter.dev
1998-04,THB,0.0252900000,frankfurter.dev
1998-04,TWD,0.0302200000,frankfurter.dev
1998-05,AED,0.2722900000,frankfurter.dev
1998-05,AUD,0.6310400000,frankfurter.dev
1998-05,CAD,0.6925000000,frankfurter.dev
1998-05,CNY,0.1207700000,frankfurter.dev
1998-05,CZK,0.0307200000,frankfurter.dev
1998-05,EUR,1.3656000000,frankfurter.dev
1998-05,GBP,1.6383000000,frankfurter.dev
1998-05,HKD,0.1290600000,frankfurter.dev
1998-05,IDR,0.0000980000,frankfurter.dev
1998-05,JPY,0.0074200000,frankfurter.dev
1998-05,KRW,0.0007200000,frankfurter.dev
1998-05,MYR,0.2627000000,frankfurter.dev
1998-05,THB,0.0256400000,frankfurter.dev
1998-05,TWD,0.0298900000,frankfurter.dev
1998-06,AED,0.2722900000,frankfurter.dev
1998-06,AUD,0.6038500000,frankfurter.dev
1998-06,CAD,0.6828500000,frankfurter.dev
1998-06,CNY,0.1207900000,frankfurter.dev
1998-06,CZK,0.0300300000,frankfurter.dev
1998-06,EUR,1.3646000000,frankfurter.dev
1998-06,GBP,1.6494000000,frankfurter.dev
1998-06,HKD,0.1290900000,frankfurter.dev
1998-06,IDR,0.0000740000,frankfurter.dev
1998-06,JPY,0.0071200000,frankfurter.dev
1998-06,KRW,0.0007200000,frankfurter.dev
1998-06,MYR,0.2503500000,frankfurter.dev
1998-06,THB,0.0236400000,frankfurter.dev
1998-06,TWD,0.0291000000,frankfurter.dev
1998-07,AED,0.2722900000,frankfurter.dev
1998-07,AUD,0.6181800000,frankfurter.dev
1998-07,CAD,0.6736300000,frankfurter.dev
1998-07,CNY,0.1207600000,frankfurter.dev
1998-07,CZK,0.0313000000,frankfurter.dev
1998-07,EUR,1.3646000000,frankfurter.dev
1998-07,GBP,1.6444000000,frankfurter.dev
1998-07,HKD,0.1290600000,frankfurter.dev
1998-07,IDR,0.0000720000,frankfurter.dev
1998-07,JPY,0.0071100000,frankfurter.dev
1998-07,KRW,0.0007700000,frankfurter.dev
1998-07,MYR,0.2410600000,frankfurter.dev
1998-07,THB,0.0243000000,frankfurter.dev
1998-07,TWD,0.0290300000,frankfurter.dev
1998-08,AED,0.2722900000,frankfurter.dev
1998-08,AUD,0.5902200000,frankfurter.dev
1998-08,CAD,0.6528700000,frankfurter.dev
1998-08,CNY,0.1207800000,frankfurter.dev
1998-08,CZK,0.0311100000,frankfurter.dev
1998-08,EUR,1.3644000000,frankfurter.dev
1998-08,GBP,1.6331000000,frankfurter.dev
1998-08,HKD,0.1290600000,frankfurter.dev
1998-08,IDR,0.0000810000,frankfurter.dev
1998-08,JPY,0.0069100000,frankfurter.dev
1998-08,KRW,0.0007700000,frankfurter.dev
1998-08,MYR,0.2386000000,frankfurter.dev
1998-08,THB,0.0240400000,frankfurter.dev
1998-08,TWD,0.0287800000,frankfurter.dev
1998-09,AED,0.2722900000,frankfurter.dev
1998-09,AUD,0.5881400000,frankfurter.dev
1998-09,CAD,0.6569000000,frankfurter.dev
1998-09,CNY,0.1208000000,frankfurter.dev
1998-09,CZK,0.0325900000,frankfurter.dev
1998-09,EUR,1.3767000000,frankfurter.dev
1998-09,GBP,1.6797000000,frankfurter.dev
1998-09,HKD,0.1290600000,frankfurter.dev
1998-09,IDR,0.0000900000,frankfurter.dev
1998-09,JPY,0.0074300000,frankfurter.dev
1998-09,KRW,0.0007300000,frankfurter.dev
1998-09,MYR,0.2615700000,frankfurter.dev
1998-09,THB,0.0246700000,frankfurter.dev
1998-09,TWD,0.0289400000,frankfurter.dev
1998-10,AED,0.2722900000,frankfurter.dev
1998-10,AUD,0.6182300000,frankfurter.dev
1998-10,CAD,0.6488500000,frankfurter.dev
1998-10,CNY,0.1208400000,frankfurter.dev
1998-10,CZK,0.0341900000,frankfurter.dev
1998-10,EUR,1.3873000000,frankfurter.dev
1998-10,GBP,1.6949000000,frankfurter.dev
1998-10,HKD,0.1290700000,frankfurter.dev
1998-10,IDR,0.0001100000,frankfurter.dev
1998-10,JPY,0.0082800000,frankfurter.dev
1998-10,KRW,0.0007500000,frankfurter.dev
1998-10,MYR,0.2629900000,frankfurter.dev
1998-10,THB,0.0260900000,frankfurter.dev
1998-10,TWD,0.0302400000,frankfurter.dev
1998-11,AED,0.2722900000,frankfurter.dev
1998-11,AUD,0.6345900000,frankfurter.dev
1998-11,CAD,0.6492800000,frankfurter.dev
1998-11,CNY,0.1208200000,frankfurter.dev
1998-11,CZK,0.0335400000,frankfurter.dev
1998-11,EUR,1.3796000000,frankfurter.dev
1998-11,GBP,1.6622000000,frankfurter.dev
1998-11,HKD,0.1291400000,frankfurter.dev
1998-11,IDR,0.0001300000,frankfurter.dev
1998-11,JPY,0.0083200000,frankfurter.dev
1998-11,KRW,0.0007700000,frankfurter.dev
1998-11,MYR,0.2632300000,frankfurter.dev
1998-11,THB,0.0273700000,frankfurter.dev
1998-11,TWD,0.0308400000,frankfurter.dev
1998-12,AED,0.2722900000,frankfurter.dev
1998-12,AUD,0.6195800000,frankfurter.dev
1998-12,CAD,0.6487600000,frankfurter.dev
1998-12,CNY,0.1208200000,frankfurter.dev
1998-12,CZK,0.0333100000,frankfurter.dev
1998-12,EUR,1.3801000000,frankfurter.dev
1998-12,GBP,1.6708000000,frankfurter.dev
1998-12,HKD,0.1290800000,frankfurter.dev
1998-12,IDR,0.0001300000,frankfurter.dev
1998-12,JPY,0.0085200000,frankfurter.dev
1998-12,KRW,0.0008200000,frankfurter.dev
1998-12,MYR,0.2632800000,frankfurter.dev
1998-12,THB,0.0276200000,frankfurter.dev
1998-12,TWD,0.0311000000,frankfurter.dev
1999-01,AED,0.2722900000,frankfurter.dev
1999-01,AUD,0.6313900000,frankfurter.dev
1999-01,CAD,0.6576700000,frankfurter.dev
1999-01,CNY,0.1207800000,frankfurter.dev
1999-01,CZK,0.0325900000,frankfurter.dev
1999-01,EUR,1.1612000000,frankfurter.dev
1999-01,GBP,1.6512000000,frankfurter.dev
1999-01,HKD,0.1290800000,frankfurter.dev
1999-01,IDR,0.0001200000,frankfurter.dev
1999-01,JPY,0.0088400000,frankfurter.dev
1999-01,KRW,0.0008500000,frankfurter.dev
1999-01,MYR,0.2632300000,frankfurter.dev
1999-01,THB,0.0273100000,frankfurter.dev
1999-01,TWD,0.0310500000,frankfurter.dev
1999-02,AED,0.2722900000,frankfurter.dev
1999-02,AUD,0.6399200000,frankfurter.dev
1999-02,CAD,0.6677900000,frankfurter.dev
1999-02,CNY,0.1205500000,frankfurter.dev
1999-02,CZK,0.0299200000,frankfurter.dev
1999-02,EUR,1.1213000000,frankfurter.dev
1999-02,GBP,1.6287000000,frankfurter.dev
1999-02,HKD,0.1288300000,frankfurter.dev
1999-02,IDR,0.0001100000,frankfurter.dev
1999-02,JPY,0.0085800000,frankfurter.dev
1999-02,KRW,0.0008400000,frankfurter.dev
1999-02,MYR,0.2631000000,frankfurter.dev
1999-02,THB,0.0269900000,frankfurter.dev
1999-02,TWD,0.0307800000,frankfurter.dev
1999-03,AED,0.2722900000,frankfurter.dev
1999-03,AUD,0.6302800000,frankfurter.dev
1999-03,CAD,0.6592100000,frankfurter.dev
1999-03,CNY,0.1196700000,frankfurter.dev
1999-03,CZK,0.0286500000,frankfurter.dev
1999-03,EUR,1.0894000000,frankfurter.dev
1999-03,GBP,1.6208000000,frankfurter.dev
1999-03,HKD,0.1280000000,frankfurter.dev
1999-03,IDR,0.0001100000,frankfurter.dev
1999-03,JPY,0.0083600000,frankfurter.dev
1999-03,KRW,0.0008100000,frankfurter.dev
1999-03,MYR,0.2632400000,frankfurter.dev
1999-03,THB,0.0265700000,frankfurter.dev
1999-03,TWD,0.0300600000,frankfurter.dev
1999-04,AED,0.2722900000,frankfurter.dev
1999-04,AUD,0.6414400000,frankfurter.dev
1999-04,CAD,0.6715300000,frankfurter.dev
1999-04,CNY,0.1204500000,frankfurter.dev
1999-04,CZK,0.0281300000,frankfurter.dev
1999-04,EUR,1.0709000000,frankfurter.dev
1999-04,GBP,1.6101000000,frankfurter.dev
1999-04,HKD,0.1287400000,frankfurter.dev
1999-04,IDR,0.0001200000,frankfurter.dev
1999-04,JPY,0.0083600000,frankfurter.dev
1999-04,KRW,0.0008200000,frankfurter.dev
1999-04,MYR,0.2631600000,frankfurter.dev
1999-04,THB,0.0265000000,frankfurter.dev
1999-04,TWD,0.0303700000,frankfurter.dev
1999-05,AED,0.2722900000,frankfurter.dev
1999-05,AUD,0.6624100000,frankfurter.dev
1999-05,CAD,0.6845100000,frankfurter.dev
1999-05,CNY,0.1208000000,frankfurter.dev
1999-05,CZK,0.0282300000,frankfurter.dev
1999-05,EUR,1.0634000000,frankfurter.dev
1999-05,GBP,1.6150000000,frankfurter.dev
1999-05,HKD,0.1290000000,frankfurter.dev
1999-05,IDR,0.0001300000,frankfurter.dev
1999-05,JPY,0.0082000000,frankfurter.dev
1999-05,KRW,0.0008400000,frankfurter.dev
1999-05,MYR,0.2632100000,frankfurter.dev
1999-05,THB,0.0270100000,frankfurter.dev
1999-05,TWD,0.0305400000,frankfurter.dev
1999-06,AED,0.2722900000,frankfurter.dev
1999-06,AUD,0.6562600000,frankfurter.dev
1999-06,CAD,0.6807000000,frankfurter.dev
1999-06,CNY,0.1208100000,frankfurter.dev
1999-06,CZK,0.0279600000,frankfurter.dev
1999-06,EUR,1.0385000000,frankfurter.dev
1999-06,GBP,1.5969000000,frankfurter.dev
1999-06,HKD,0.1289300000,frankfurter.dev
1999-06,IDR,0.0001400000,frankfurter.dev
1999-06,JPY,0.0082800000,frankfurter.dev
1999-06,KRW,0.0008500000,frankfurter.dev
1999-06,MYR,0.2632200000,frankfurter.dev
1999-06,THB,0.0271000000,frankfurter.dev
1999-06,TWD,0.0307000000,frankfurter.dev
1999-07,AED,0.2722900000,frankfurter.dev
1999-07,AUD,0.6570200000,frankfurter.dev
1999-07,CAD,0.6724300000,frankfurter.dev
1999-07,CNY,0.1205800000,frankfurter.dev
1999-07,CZK,0.0283100000,frankfurter.dev
1999-07,EUR,1.0334000000,frankfurter.dev
1999-07,GBP,1.5714000000,frankfurter.dev
1999-07,HKD,0.1286400000,frankfurter.dev
1999-07,IDR,0.0001500000,frankfurter.dev
1999-07,JPY,0.0083700000,frankfurter.dev
1999-07,KRW,0.0008500000,frankfurter.dev
1999-07,MYR,0.2631400000,frankfurter.dev
1999-07,THB,0.0269600000,frankfurter.dev
1999-07,TWD,0.0308900000,frankfurter.dev
1999-08,AED,0.2722900000,frankfurter.dev
1999-08,AUD,0.6449200000,frankfurter.dev
1999-08,CAD,0.6696200000,frankfurter.dev
1999-08,CNY,0.1208100000,frankfurter.dev
1999-08,CZK,0.0291300000,frankfurter.dev
1999-08,EUR,1.0611000000,frankfurter.dev
1999-08,GBP,1.6064000000,frankfurter.dev
1999-08,HKD,0.1288200000,frankfurter.dev
1999-08,IDR,0.0001400000,frankfurter.dev
1999-08,JPY,0.0088200000,frankfurter.dev
1999-08,KRW,0.0008300000,frankfurter.dev
1999-08,MYR,0.2632000000,frankfurter.dev
1999-08,THB,0.0263400000,frankfurter.dev
1999-08,TWD,0.0312400000,frankfurter.dev
1999-09,AED,0.2722900000,frankfurter.dev
1999-09,AUD,0.6485400000,frankfurter.dev
1999-09,CAD,0.6766200000,frankfurter.dev
1999-09,CNY,0.1201500000,frankfurter.dev
1999-09,CZK,0.0287700000,frankfurter.dev
1999-09,EUR,1.0502000000,frankfurter.dev
1999-09,GBP,1.6227000000,frankfurter.dev
1999-09,HKD,0.1281400000,frankfurter.dev
1999-09,IDR,0.0001200000,frankfurter.dev
1999-09,JPY,0.0093300000,frankfurter.dev
1999-09,KRW,0.0008300000,frankfurter.dev
1999-09,MYR,0.2631300000,frankfurter.dev
1999-09,THB,0.0251600000,frankfurter.dev
1999-09,TWD,0.0313200000,frankfurter.dev
1999-10,AED,0.2722900000,frankfurter.dev
1999-10,AUD,0.6521400000,frankfurter.dev
1999-10,CAD,0.6773300000,frankfurter.dev
1999-10,CNY,0.1204200000,frankfurter.dev
1999-10,CZK,0.0292200000,frankfurter.dev
1999-10,EUR,1.0714000000,frankfurter.dev
1999-10,GBP,1.6578000000,frankfurter.dev
1999-10,HKD,0.1283700000,frankfurter.dev
1999-10,IDR,0.0001300000,frankfurter.dev
1999-10,JPY,0.0094300000,frankfurter.dev
1999-10,KRW,0.0008300000,frankfurter.dev
1999-10,MYR,0.2632300000,frankfurter.dev
1999-10,THB,0.0253200000,frankfurter.dev
1999-10,TWD,0.0315000000,frankfurter.dev
1999-11,AED,0.2722900000,frankfurter.dev
1999-11,AUD,0.6392800000,frankfurter.dev
1999-11,CAD,0.6818100000,frankfurter.dev
1999-11,CNY,0.1203000000,frankfurter.dev
1999-11,CZK,0.0284700000,frankfurter.dev
1999-11,EUR,1.0348000000,frankfurter.dev
1999-11,GBP,1.6231000000,frankfurter.dev
1999-11,HKD,0.1282000000,frankfurter.dev
1999-11,IDR,0.0001400000,frankfurter.dev
1999-11,JPY,0.0095400000,frankfurter.dev
1999-11,KRW,0.0008500000,frankfurter.dev
1999-11,MYR,0.2632300000,frankfurter.dev
1999-11,THB,0.0257700000,frankfurter.dev
1999-11,TWD,0.0313700000,frankfurter.dev
1999-12,AED,0.2722900000,frankfurter.dev
1999-12,AUD,0.6401100000,frankfurter.dev
1999-12,CAD,0.6785800000,frankfurter.dev
1999-12,CNY,0.1205700000,frankfurter.dev
1999-12,CZK,0.0280500000,frankfurter.dev
1999-12,EUR,1.0132000000,frankfurter.dev
1999-12,GBP,1.6131000000,frankfurter.dev
1999-12,HKD,0.1284300000,frankfurter.dev
1999-12,IDR,0.0001400000,frankfurter.dev
1999-12,JPY,0.0097500000,frankfurter.dev
1999-12,KRW,0.0008800000,frankfurter.dev
1999-12,MYR,0.2631700000,frankfurter.dev
1999-12,THB,0.0260400000,frankfurter.dev
1999-12,TWD,0.0316500000,frankfurter.dev
2000-01,AED,0.2722900000,frankfurter.dev
2000-01,AUD,0.6568700000,frankfurter.dev
2000-01,CAD,0.6897500000,frankfurter.dev
2000-01,CNY,0.1205400000,frankfurter.dev
2000-01,CZK,0.0280400000,frankfurter.dev
2000-01,EUR,1.0159000000,frankfurter.dev
2000-01,GBP,1.6383000000,frankfurter.dev
2000-01,HKD,0.1281900000,frankfurter.dev
2000-01,IDR,0.0001400000,frankfurter.dev
2000-01,JPY,0.0095200000,frankfurter.dev
2000-01,KRW,0.0008800000,frankfurter.dev
2000-01,MYR,0.2632200000,frankfurter.dev
2000-01,THB,0.0267800000,frankfurter.dev
2000-01,TWD,0.0324800000,frankfurter.dev
2000-02,AED,0.2722900000,frankfurter.dev
2000-02,AUD,0.6294200000,frankfurter.dev
2000-02,CAD,0.6893800000,frankfurter.dev
2000-02,CNY,0.1206200000,frankfurter.dev
2000-02,CZK,0.0275400000,frankfurter.dev
2000-02,EUR,0.9844300000,frankfurter.dev
2000-02,GBP,1.6024000000,frankfurter.dev
2000-02,HKD,0.1283200000,frankfurter.dev
2000-02,IDR,0.0001400000,frankfurter.dev
2000-02,JPY,0.0091600000,frankfurter.dev
2000-02,KRW,0.0008900000,frankfurter.dev
2000-02,MYR,0.2631500000,frankfurter.dev
2000-02,THB,0.0265100000,frankfurter.dev
2000-02,TWD,0.0325000000,frankfurter.dev
2000-03,AED,0.2722900000,frankfurter.dev
2000-03,AUD,0.6102600000,frankfurter.dev
2000-03,CAD,0.6849400000,frankfurter.dev
2000-03,CNY,0.1209100000,frankfurter.dev
2000-03,CZK,0.0271800000,frankfurter.dev
2000-03,EUR,0.9662900000,frankfurter.dev
2000-03,GBP,1.5812000000,frankfurter.dev
2000-03,HKD,0.1286100000,frankfurter.dev
2000-03,IDR,0.0001300000,frankfurter.dev
2000-03,JPY,0.0093900000,frankfurter.dev
2000-03,KRW,0.0008900000,frankfurter.dev
2000-03,MYR,0.2631700000,frankfurter.dev
2000-03,THB,0.0264200000,frankfurter.dev
2000-03,TWD,0.0325900000,frankfurter.dev
2000-04,AED,0.2722900000,frankfurter.dev
2000-04,AUD,0.5972900000,frankfurter.dev
2000-04,CAD,0.6825000000,frankfurter.dev
2000-04,CNY,0.1207800000,frankfurter.dev
2000-04,CZK,0.0261900000,frankfurter.dev
2000-04,EUR,0.9496100000,frankfurter.dev
2000-04,GBP,1.5857000000,frankfurter.dev
2000-04,HKD,0.1284200000,frankfurter.dev
2000-04,IDR,0.0001300000,frankfurter.dev
2000-04,JPY,0.0095000000,frankfurter.dev
2000-04,KRW,0.0009000000,frankfurter.dev
2000-04,MYR,0.2631800000,frankfurter.dev
2000-04,THB,0.0263400000,frankfurter.dev
2000-04,TWD,0.0327400000,frankfurter.dev
2000-05,AED,0.2722900000,frankfurter.dev
2000-05,AUD,0.5784200000,frankfurter.dev
2000-05,CAD,0.6691400000,frankfurter.dev
2000-05,CNY,0.1208300000,frankfurter.dev
2000-05,CZK,0.0249000000,frankfurter.dev
2000-05,EUR,0.9075800000,frankfurter.dev
2000-05,GBP,1.5096000000,frankfurter.dev
2000-05,HKD,0.1284000000,frankfurter.dev
2000-05,IDR,0.0001200000,frankfurter.dev
2000-05,JPY,0.0092600000,frankfurter.dev
2000-05,KRW,0.0008900000,frankfurter.dev
2000-05,MYR,0.2631600000,frankfurter.dev
2000-05,THB,0.0257800000,frankfurter.dev
2000-05,TWD,0.0325200000,frankfurter.dev
2000-06,AED,0.2722900000,frankfurter.dev
2000-06,AUD,0.5931500000,frankfurter.dev
